,name,Summary,actors,director,BigCategory,SmallCategory,Category,runningtime,SMRY,vod_name
681,"장인, 아트 오브 디테일",손 끝에서 펼쳐치는 장인들의 디테일한 작품들의 세계와 혼이 담긴 열정을 만나다.,-,,라이프,기타,TV프로그램,0:49,손 끝에서 펼쳐치는 장인들의 디테일한 작품들의 세계와 혼이 담긴 열정을 만나다.,"장인, 아트 오브 디테일"
682,일본 솔로 캠핑,"[양배추 롤과 파운드케이크 - 하] 오랜만에 맑은 날씨 속에서 캠핑을 즐긴다. 양배추 롤에 바게트를 곁들이고, 파운드케이크에는 단호박을 넣는다. [칠리새우 토르티야 - 상] 비와 함께 혼자만의 시간을 만끽하는 캠핑. 새우를 손질해 칠리새우 토르티야를 준비한다.",나카무라 쿄코,,라이프,기타,TV프로그램,0:25,"[양배추 롤과 파운드케이크 - 하] 오랜만에 맑은 날씨 속에서 캠핑을 즐긴다. 양배추 롤에 바게트를 곁들이고, 파운드케이크에는 단호박을 넣는다. [칠리새우 토르티야 - 상] 비와 함께 혼자만의 시간을 만끽하는 캠핑. 새우를 손질해 칠리새우 토르티야를 준비한다.",일본 솔로 캠핑
683,더 늦기 전에,'더 늦기 전' 마음을 전하고 싶은 사람과 함께 떠나는 예능 프로그램,"김지연,이예식,길구,봉구",,다큐,역사,TV프로그램,1:04,"[미래: 나를 잊지 말아요] 사할린 한인들의 삶을 기억하기 위해 다양한 활동을 하고 있는 대학생 사할린즈와 극단 자유바다, 길구봉구가 함께 준비한 특별 사진전과 공연을 선보이며 우리가 사할린 한인들을 기억하고 다음 세대에게 알려야 하는 이유를 살펴본다.",더 늦기 전에
684,오일팔 증명사진관,"5.18 광주, 그날의 참상을 최초로 기록하고 알린 두 사진기자의 민주 로드 여행.","나경택,정태원,심용환,다니엘린데만,이지훈,문진아",,다큐,역사,TV프로그램,0:59,"5.18 광주, 그날의 참상을 최초로 기록하고 알린 두 사진기자의 민주 로드 여행.",오일팔 증명사진관
685,자연인과 도시인의 사랑,"본편에 나오지 않았던 촬영 당시의 비하인드 장면이 공개된다. 출연자들은 방송 이후 변한 삶과 주변 사람들의 반응에 관해 인터뷰하고, 해명할 것이 있다며 손사래를 치기도 한다. 그 뒷이야기를 들어 보자.",-,,다큐,인물,TV프로그램,0:46,"본편에 나오지 않았던 촬영 당시의 비하인드 장면이 공개된다. 출연자들은 방송 이후 변한 삶과 주변 사람들의 반응에 관해 인터뷰하고, 해명할 것이 있다며 손사래를 치기도 한다. 그 뒷이야기를 들어 보자.",자연인과 도시인의 사랑
686,극한직업,극한의 직업에 종사하는 사람들의 삶을 밀착 촬영하여 생생하게 보여주는 프로그램,-,,다큐,인물,TV프로그램,0:45,"23.06.03 방영. 여름, 무더위를 잡아라 단열과 냉방. 단열, 곰팡이 제거, 냉방 효율 증대.",극한직업
687,90일의 약혼자 시즌6,90일의 약혼자에 출연했던 커플의 가족과 친구들이 나와서 그동안 있었던 사건에 대해 솔직히 털어놓는다. 애슐리의 친구 데스티니와 브랜디는 또 다른 친구인 내털리의 행동에 대해 솔직히 평가한다.,-,,다큐,인물,TV프로그램,0:38,90일의 약혼자에 출연했던 커플의 가족과 친구들이 나와서 그동안 있었던 사건에 대해 솔직히 털어놓는다. 애슐리의 친구 데스티니와 브랜디는 또 다른 친구인 내털리의 행동에 대해 솔직히 평가한다.,90일의 약혼자 시즌6
688,90일의 약혼자,"폭로전 마지막 날, 그동안 하지 못했던 이야기가 연이어 쏟아져 나온다. 당사자는 물론 주변인들의 의견도 들으며 커플들의 문제점을 파헤쳐 보자.",-,,다큐,인물,TV프로그램,1:04,"폭로전 마지막 날, 그동안 하지 못했던 이야기가 연이어 쏟아져 나온다. 당사자는 물론 주변인들의 의견도 들으며 커플들의 문제점을 파헤쳐 보자.",90일의 약혼자
689,알래스카 생존기 시즌 11,"대학으로 떠나기 전에, 에티엔은 황무지에서 마지막 도전을 이어가고 어거스트는 마침내 그의 미래를 위해 무엇을 하고 싶은지 깨닫게 된다.",-,,다큐,인물,TV프로그램,0:42,"대학으로 떠나기 전에, 에티엔은 황무지에서 마지막 도전을 이어가고 어거스트는 마침내 그의 미래를 위해 무엇을 하고 싶은지 깨닫게 된다.",알래스카 생존기 시즌 11
690,생존시그널 XL 시즌8,한 무리의 생존주의자들이 제한된 자원으로 40일 동안 위험한 환경에서 살아남아야 하는 도전에 착수하게 되는데.. 과연 이들은 40일 동안 살아남을 수 있을까?,-,,다큐,인물,TV프로그램,0:43,한 무리의 생존주의자들이 제한된 자원으로 40일 동안 위험한 환경에서 살아남아야 하는 도전에 착수하게 되는데.. 과연 이들은 40일 동안 살아남을 수 있을까?,생존시그널 XL 시즌8
